Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.),Frequency (Hz),Absolute Amplitude (a.u.)
3023.4375,0.009029435691,3023.4375,0.008592622824,3023.4375,0.02410049325,3023.4375,4.098736831,3023.4375,0.006311658628,3023.4375,0.005070088134
3046.875,0.02243235681,3046.875,0.002282035242,3046.875,0.006893557082,3046.875,0.4599611133,3046.875,0.02449807316,3046.875,0.002699859323
3070.3125,0.01647800953,3070.3125,0.003584779474,3070.3125,0.02329161862,3070.3125,3.654574636,3070.3125,0.01864501961,3070.3125,0.02777106795
3093.75,0.0190610231,3093.75,0.004122511022,3093.75,0.04172468537,3093.75,4.335293324,3093.75,0.01256601052,3093.75,0.008185820868
3117.1875,0.01525310876,3117.1875,0.01107122356,3117.1875,0.0179199383,3117.1875,4.183052925,3117.1875,0.008067381146,3117.1875,0.01504918566
3140.625,0.01580001317,3140.625,0.01125165683,3140.625,0.02296429193,3140.625,4.974739027,3140.625,0.04129689824,3140.625,0.006643214395
3164.0625,0.003970552799,3164.0625,0.007234202453,3164.0625,0.01998140273,3164.0625,2.30046492,3164.0625,0.04002542806,3164.0625,0.02313651617
3187.5,0.01499719428,3187.5,0.006417191198,3187.5,0.006377242611,3187.5,1.491791402,3187.5,0.03200981931,3187.5,0.02248545344
3210.9375,0.02052399489,3210.9375,0.01761286879,3210.9375,0.04783005827,3210.9375,4.583510823,3210.9375,0.0377862561,3210.9375,0.02437449978
3234.375,0.01603010443,3234.375,0.002270851548,3234.375,0.02411331569,3234.375,0.6001778773,3234.375,0.01696889652,3234.375,0.02133276954
3257.8125,0.02193298398,3257.8125,0.01521122141,3257.8125,0.03800176589,3257.8125,3.879662904,3257.8125,0.03559753121,3257.8125,0.0405264413
3281.25,0.007769965952,3281.25,0.01511025448,3281.25,0.01407254337,3281.25,3.500583546,3281.25,0.08666952035,3281.25,0.09423925351
3304.6875,0.003947418128,3304.6875,0.02268276574,3304.6875,0.03176377782,3304.6875,3.812145803,3304.6875,0.04002755445,3304.6875,0.0199389154
3328.125,0.005782691674,3328.125,0.03328594227,3328.125,0.03489451176,3328.125,6.146768913,3328.125,0.0126289284,3328.125,0.09655567055
3351.5625,0.008939592566,3351.5625,0.01848095568,3351.5625,0.02700387843,3351.5625,1.572351406,3351.5625,0.05900608306,3351.5625,0.08214711955
3375,0.0190859187,3375,0.01356342044,3375,0.02101863596,3375,1.759328415,3375,0.02174341814,3375,0.02881083863
3398.4375,0.008196461863,3398.4375,0.01712691866,3398.4375,0.01693536962,3398.4375,1.587114388,3398.4375,0.04484902672,3398.4375,0.04864916775
3421.875,0.002153812391,3421.875,0.008563444929,3421.875,0.02818780935,3421.875,1.824509368,3421.875,0.06563968431,3421.875,0.0513467261
3445.3125,0.01160111694,3445.3125,0.01053879907,3445.3125,0.03377167635,3445.3125,3.300971215,3445.3125,0.01794152582,3445.3125,0.05705875441
3468.75,0.01208597097,3468.75,0.006783443557,3468.75,0.021927573,3468.75,1.183370781,3468.75,0.03432573979,3468.75,0.04360211925
3492.1875,0.004099333093,3492.1875,0.0139442194,3492.1875,0.02401464551,3492.1875,2.286986105,3492.1875,0.08522284357,3492.1875,0.03314225565
3515.625,0.001883708823,3515.625,0.03288792707,3515.625,0.02142737663,3515.625,1.346200456,3515.625,0.06104198309,3515.625,0.05751905221
3539.0625,0.01919680214,3539.0625,0.01019597007,3539.0625,0.03681251708,3539.0625,3.030448632,3539.0625,0.01534436174,3539.0625,0.02052791905
3562.5,0.006262313888,3562.5,0.0272975873,3562.5,0.03887558946,3562.5,1.372201331,3562.5,0.04803120713,3562.5,0.04704137048
3585.9375,0.01344660444,3585.9375,0.01270797337,3585.9375,0.01121281369,3585.9375,0.4613449187,3585.9375,0.02116475156,3585.9375,0.04734661237
3609.375,0.003303913203,3609.375,0.02972645509,3609.375,0.006744776158,3609.375,1.086890601,3609.375,0.01949714761,3609.375,0.1143269269
3632.8125,0.0117839694,3632.8125,0.025829051,3632.8125,0.03039628398,3632.8125,2.793309611,3632.8125,0.05739919943,3632.8125,0.05169402525
3656.25,0.01564024229,3656.25,0.01898431857,3656.25,0.0328185648,3656.25,0.2516583229,3656.25,0.0582787575,3656.25,0.08057417661
3679.6875,0.01053550791,3679.6875,0.01413104667,3679.6875,0.04356095365,3679.6875,1.543253563,3679.6875,0.05936640896,3679.6875,0.02907248201
3703.125,0.004538656011,3703.125,0.02186987018,3703.125,0.02110087412,3703.125,0.4762433795,3703.125,0.04554611955,3703.125,0.03990484589
3726.5625,0.009050340659,3726.5625,0.004080522792,3726.5625,0.01321813489,3726.5625,0.6987911299,3726.5625,0.07709039379,3726.5625,0.09010120655
3750,0.00429318411,3750,0.02111283229,3750,0.01788866471,3750,1.218784349,3750,0.03778229484,3750,0.1223769823
3773.4375,0.004527784479,3773.4375,0.009268968299,3773.4375,0.007103082305,3773.4375,0.09120877301,3773.4375,0.1231331254,3773.4375,0.09361394933
3796.875,0.004772881702,3796.875,0.007633174372,3796.875,0.01129059709,3796.875,0.5872463634,3796.875,0.1463214318,3796.875,0.05721420532
3820.3125,0.008144167953,3820.3125,0.02225644312,3820.3125,0.04573543837,3820.3125,2.322911105,3820.3125,0.04717214868,3820.3125,0.04581449326
3843.75,0.008900134349,3843.75,0.01360428245,3843.75,0.05234492585,3843.75,1.925713779,3843.75,0.05235845841,3843.75,0.06234581357
3867.1875,0.004483663081,3867.1875,0.02079349584,3867.1875,0.04509782069,3867.1875,1.10808576,3867.1875,0.1356235193,3867.1875,0.06478608212
3890.625,0.009631894733,3890.625,0.007856408774,3890.625,0.01219558459,3890.625,1.116073778,3890.625,0.07786617212,3890.625,0.04705430623
3914.0625,0.008119469536,3914.0625,0.01157488268,3914.0625,0.03967422964,3914.0625,1.222269116,3914.0625,0.07813508201,3914.0625,0.07088445761
3937.5,0.002609246577,3937.5,0.003240508021,3937.5,0.009049910047,3937.5,1.083899402,3937.5,0.04502737366,3937.5,0.07287745057
3960.9375,0.007847862319,3960.9375,0.005421154713,3960.9375,0.0269951091,3960.9375,0.5661118932,3960.9375,0.09443823834,3960.9375,0.005635509542
3984.375,0.006569193195,3984.375,0.009188263326,3984.375,0.01623934962,3984.375,1.540438369,3984.375,0.1175217687,3984.375,0.01745125958
4007.8125,0.01033730951,4007.8125,0.0006379453445,4007.8125,0.01642773141,4007.8125,2.019939233,4007.8125,0.04848758248,4007.8125,0.05681699232
4031.25,0.01025551304,4031.25,0.003448626849,4031.25,0.05881597135,4031.25,2.13677447,4031.25,0.02779161281,4031.25,0.04578360067
4054.6875,0.01123591386,4054.6875,0.00798284928,4054.6875,0.01572162543,4054.6875,1.625388361,4054.6875,0.1115064438,4054.6875,0.07228667728
4078.125,0.008174265016,4078.125,0.007475425845,4078.125,0.02561428506,4078.125,1.32600857,4078.125,0.1012806286,4078.125,0.0495388851
4101.5625,0.008072220877,4101.5625,0.003082220026,4101.5625,0.01830569401,4101.5625,0.3710424179,4101.5625,0.05699119941,4101.5625,0.02813493725
4125,0.003137833114,4125,0.01029500588,4125,0.01773303378,4125,0.8285663764,4125,0.1125639228,4125,0.1234508813
4148.4375,0.004834354687,4148.4375,0.01012029443,4148.4375,0.01274795504,4148.4375,0.9537174618,4148.4375,0.2090694289,4148.4375,0.01045135958
4171.875,0.008894282108,4171.875,0.002409519863,4171.875,0.03968225943,4171.875,0.2816593887,4171.875,0.2297441934,4171.875,0.03849007425
4195.3125,0.01269579138,4195.3125,0.00835529001,4195.3125,0.03111718643,4195.3125,1.007474088,4195.3125,0.1552518145,4195.3125,0.03368961648
4218.75,0.01507514869,4218.75,0.003179041702,4218.75,0.02046822908,4218.75,1.101489755,4218.75,0.02827664418,4218.75,0.04569560299
4242.1875,0.01590138315,4242.1875,0.007243502122,4242.1875,0.04213643166,4242.1875,0.3394996234,4242.1875,0.1641989779,4242.1875,0.01096540063
4265.625,0.01010739986,4265.625,0.008270718721,4265.625,0.04151455233,4265.625,0.4275663875,4265.625,0.1991138783,4265.625,0.02636820463
